MLC ID,Commitment,Reporting Lead,All ministers
3812,"Ensure the use of disaggregated data to track the Public Service's progress in implementing the plans outlined in their responses to the Call to Action on Anti-Racism, Equity and Inclusion.",President of the Treasury Board,"President of the Treasury Board; Minister of Innovation, Science and Industry; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness"
3813,"Build a whole-of-government approach for the improved collection, analysis, availability and publication of disaggregated data.",President of the Treasury Board,"President of the Treasury Board; Minister of Innovation, Science and Industry"
3814,Create a Diversity Fellowship to mentor and sponsor diverse groups of public servants.,President of the Treasury Board,President of the Treasury Board; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
3815,"Implement an action plan to increase representation in hiring, appointments and leadership development.",President of the Treasury Board,President of the Treasury Board; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
3816,"Create a fellowship for 1,000 students and new graduates.",President of the Treasury Board,President of the Treasury Board; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
3817,Offer language training to post-secondary students to reduce barriers to public service recruitment.,President of the Treasury Board,President of the Treasury Board; Minister of Canadian Heritage and Quebec Lieutenant; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
3818,"Hire 5,000 new public servants with disabilities by 2025.",President of the Treasury Board,"President of the Treasury Board; Minister of Innovation, Science and Industry; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness"
3819,Offer language programs to racialized public service employees.,President of the Treasury Board,President of the Treasury Board
3820,Expand public service recruitment programs to international students and permanent residents.,President of the Treasury Board,President of the Treasury Board; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
3821,Help community organizations support students to enter the Public Service.,President of the Treasury Board,President of the Treasury Board; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
3822,Establish a mental health fund for Black public servants.,President of the Treasury Board,President of the Treasury Board
3823,"Support career advancement, training, sponsorship and educational opportunities for Black public servants.",President of the Treasury Board,President of the Treasury Board; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
3824,Advance the implementation of the Pay Equity Act across the Public Service.,President of the Treasury Board,President of the Treasury Board
3827,Bring forward a coherent and coordinated plan for the future of work within the Public Service.,President of the Treasury Board,President of the Treasury Board
3828,"Develop a long-term, government-wide Public Service Skills Strategy.",President of the Treasury Board,"President of the Treasury Board; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Employment, Workforce Development and Disability Inclusion"
3829,Reduce the time it takes to hire new public servants.,President of the Treasury Board,President of the Treasury Board; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Public Services and Procurement; Minister of Public Safety
3830,"Continue to advance requirement of Crown corporations to implement gender and diversity reporting, starting in 2022.",President of the Treasury Board,"President of the Treasury Board; Minister of Canadian Heritage and Quebec Lieutenant; Deputy Prime Minister and Minister of Finance; Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Innovation, Science and Industry; Minister of Natural Resources; Minister of National Revenue; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Public Safety; Minister of National Defence; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Environment and Climate Change; Minister of Labour"
